16897,0,1
22017,0,2
27656,0,1
32776,0,1
38920,0,1
44549,0,3
50185,0,1
55816,0,1
61958,0,3
68100,0,3
74248,0,3
79361,0,3
85512,0,1
91655,0,2
97283,0,3
102408,0,2
107524,0,2
112648,0,3
118273,0,3
123398,0,2
128519,0,1
134662,0,2
140290,0,2
145417,0,3
150539,0,1
155655,0,2
161289,0,2
166917,0,2
172545,0,2
178183,0,3
183815,0,1
188940,0,1
194560,0,2
200200,0,1
205829,0,2
210952,0,3
216584,0,1
222727,0,3
228864,0,3
234503,0,1
239617,0,2
245767,0,3
251906,0,1
258056,0,2
264200,0,3
269832,0,1
274951,0,2
280581,0,3
285704,0,1
291842,0,2
296969,0,3
303115,0,1
309256,0,2
315399,0,3
321540,0,1
327176,0,2
332808,0,3
337928,0,1
343042,0,2
349186,0,3
