16904,0,1
22023,0,2
27656,0,2
32775,0,2
38917,0,2
44548,0,2
50178,0,1
55815,0,1
61959,0,1
68110,0,1
74242,0,3
79367,0,3
85512,0,3
91656,0,2
97285,0,3
102407,0,1
107521,0,2
112649,0,2
118274,0,1
123405,0,2
128516,0,3
134658,0,3
140297,0,2
145416,0,3
150529,0,1
155656,0,2
161286,0,3
166913,0,2
172551,0,2
178183,0,1
183813,0,3
188935,0,1
194564,0,3
200200,0,1
205830,0,1
210952,0,3
216585,0,1
222730,0,1
228865,0,3
234503,0,3
239618,0,2
245766,0,3
251913,0,1
258056,0,2
264195,0,3
269825,0,1
274950,0,2
280583,0,3
285701,0,1
291841,0,2
296967,0,3
303113,0,1
309256,0,2
315399,0,3
321544,0,1
327170,0,2
332808,0,3
337921,0,1
343048,0,2
349191,0,3
