16902,0,1
22019,0,2
27657,0,3
32775,0,1
38919,0,3
44557,0,1
50179,0,2
55817,0,2
61968,0,3
68101,0,1
74242,0,3
79372,0,3
85508,0,2
91654,0,2
97292,0,1
102410,0,1
107527,0,2
112648,0,3
118278,0,1
123393,0,2
128521,0,1
134663,0,3
140295,0,2
145411,0,1
150529,0,2
155656,0,3
161287,0,3
166918,0,1
172546,0,2
178186,0,1
183815,0,3
188935,0,2
194565,0,1
200195,0,2
205832,0,1
210961,0,1
216590,0,3
222722,0,2
228865,0,3
234504,0,3
239624,0,2
245764,0,3
251904,0,1
258055,0,2
264200,0,3
269830,0,1
274945,0,2
280584,0,3
285703,0,1
291846,0,2
296965,0,3
303111,0,1
309256,0,2
315399,0,3
321549,0,1
327170,0,2
332807,0,3
337928,0,1
343046,0,2
349185,0,3
